mode,environment,dogs,gen,dog-avg,dog-max,dog-min,dog-std,fit-avg,fit-max,fit-min,fit-std,pen-avg,pen-max,pen-min,pen-std,shp-avg,shp-max,shp-min,shp-std,cap-avg,cap-max,cap-min,cap-std,mrph-avg,mrph-max,mrph-min,mrph-std
fixed,field,15dogs,65,0.6363471246232333,0.77834824864207,0.3805956949096569,0.06305362609057784,0.3915111111111111,0.6622222222222222,0.00888888888888888,0.1358795090897167,0.3194413432726526,0.6813435433968023,0.12652281237494165,0.08290219508807235,0.28235776630916504,0.38966539880298273,0.21470949471052397,0.032065978981962236,,,,,,,,
fixed,field,15dogs,66,0.6368494448654615,0.7790393898733239,0.3608900151276089,0.06397536188878172,0.39418888888888887,0.6488888888888888,0.013333333333333326,0.13071768386719124,0.31714873159961665,0.6829884317619181,0.12793252952065085,0.07766812262612553,0.28155687198396445,0.39041701059295,0.21437655006605055,0.03206810170837214,,,,,,,,
fixed,field,15dogs,67,0.6389981427400986,0.7839547309236654,0.40753491414052234,0.06008637120446991,0.39198888888888883,0.658888888888889,0.00888888888888888,0.13529498243980118,0.32253954065229745,0.664948080873095,0.1336629806628975,0.07898037747874771,0.2811227871661926,0.3977306484549383,0.21477924826301048,0.03229770961404686,,,,,,,,
fixed,field,15dogs,68,0.6387105682740919,0.7669443306352504,0.41701213034981566,0.05754371087138157,0.3980555555555555,0.65,0.01555555555555554,0.13182397129158757,0.31929287421257496,0.6636008582602269,0.1358377325951758,0.07781342431971443,0.28076877202480083,0.39160218355430587,0.21501743804788429,0.03168188924379056,,,,,,,,
fixed,field,15dogs,69,0.6400932577373443,0.7785115577576995,0.3932402503770521,0.06034938939227985,0.40794444444444444,0.6711111111111111,0.006666666666666659,0.12943017167179355,0.31824271170369006,0.6427116256761668,0.13751007513272406,0.07272649141135411,0.28040350114259427,0.38709787869429346,0.2153870419741995,0.030791706627166727,,,,,,,,
fixed,field,15dogs,70,0.6386985853141351,0.7759829640573103,0.4046088828353794,0.06153233053578586,0.4012444444444444,0.6777777777777778,0.012222222222222214,0.13754909469541715,0.3152286018112225,0.6768579470540507,0.1304587434773068,0.07774626024918183,0.28416006183418874,0.39710398767017197,0.21650472941628168,0.032809464379481665,,,,,,,,
fixed,field,15dogs,71,0.6392070135395536,0.7761870429046127,0.381569552175394,0.06387913234755944,0.40411111111111103,0.6555555555555556,0.00888888888888888,0.13634875398109506,0.3180475453326529,0.6776913461238723,0.13246705024443337,0.08213604268155791,0.2818294654980421,0.3976074319710118,0.21028767797767514,0.03406266384156853,,,,,,,,
fixed,field,15dogs,72,0.6464615010709465,0.7719756444784907,0.4158616376933768,0.05690726127982097,0.4126444444444444,0.6633333333333333,0.017777777777777764,0.1297309572255688,0.3211999469389194,0.6829437762344781,0.14650538796725252,0.07841358463499704,0.28005045633891157,0.38392302816600304,0.21367974338262355,0.03108186466129419,,,,,,,,
fixed,field,15dogs,73,0.6471456650472389,0.7743961287909059,0.368282444061674,0.06173712030642729,0.4009666666666666,0.6655555555555556,0.00444444444444444,0.13846222226119598,0.32203087219672255,0.6926604019409223,0.12548387136365005,0.08146502495233329,0.28195880584480015,0.39601326733638387,0.21245699029967455,0.03245733144885045,,,,,,,,
fixed,field,15dogs,74,0.6502967012286347,0.7768833835553977,0.42142728418693326,0.05614477534263471,0.4117,0.6766666666666666,0.00555555555555555,0.13746509317860778,0.32102620945061866,0.6746320958006696,0.14248003601428866,0.07575672544874991,0.2793961541431588,0.394137909784925,0.2156018551203037,0.03191678914182152,,,,,,,,
fixed,field,15dogs,75,0.6520775124498288,0.7750462248318316,0.38700803847981013,0.06091598490014334,0.41231111111111113,0.6733333333333333,0.012222222222222214,0.13766471985484924,0.3235755142278152,0.6868754265828872,0.1169411265446498,0.07996846092542217,0.28004501020313666,0.39072262067853375,0.21340121286247477,0.032831725085958836,,,,,,,,
fixed,field,15dogs,76,0.6522309551020395,0.778094035064681,0.38816944092629124,0.06335095721705744,0.41213333333333335,0.6766666666666666,0.01666666666666666,0.14075590172019928,0.32513173583888727,0.7181066138520519,0.12408613923804043,0.08655782026925161,0.27986780567481484,0.390872885759887,0.21281853745299167,0.03291669957693262,,,,,,,,
fixed,field,15dogs,77,0.6510115306767373,0.7726881013304101,0.4323819071057254,0.0583097296418935,0.4167666666666666,0.6733333333333333,0.00888888888888888,0.13749912235532852,0.32372426360655937,0.6724428307792292,0.14183222727770786,0.08069988370948729,0.27940420918705977,0.3880457702796657,0.21108893313314742,0.032236097495266895,,,,,,,,
fixed,field,15dogs,78,0.6529452670457163,0.781350299412112,0.41512026243122646,0.05890139565286136,0.4155555555555555,0.6788888888888889,0.01666666666666666,0.13237808920506805,0.32240664842784245,0.6711918318511875,0.127996354551676,0.08087358929035829,0.27951345379118087,0.39934650703386565,0.21053085238991595,0.03212527222352951,,,,,,,,
fixed,field,15dogs,79,0.6484489784259224,0.7635005682893249,0.4134625342897104,0.05732584270455686,0.41839999999999994,0.6755555555555556,0.00888888888888888,0.13770338905708424,0.3204855582838468,0.6769315141445358,0.12936938528419528,0.0775293201889812,0.27980362330008784,0.38125051247702396,0.21226550234886168,0.031735327724841104,,,,,,,,
fixed,field,15dogs,80,0.6500108029271017,0.7747525189929727,0.43557241248484263,0.0573956500636361,0.42105555555555557,0.6822222222222222,0.006666666666666659,0.13701300450934933,0.32000510015798317,0.6924983120827946,0.14836491736370785,0.07805899589993147,0.28150738751789445,0.39013512074313444,0.21457359708930018,0.03108494616807352,,,,,,,,
fixed,field,15dogs,81,0.6483037422346776,0.7668434294670414,0.39191431299684687,0.05891747947296806,0.42479999999999996,0.6955555555555556,0.017777777777777764,0.13424279899134547,0.31908483962105877,0.6634028131289056,0.13561144631331562,0.07529269422427913,0.28108753192628155,0.3912122316618748,0.21248474774895937,0.03222395763655582,,,,,,,,
