group,metric,count,mean,std,min,max
ice_mud_low__20dogs,cap-max,20,0.27166666666666667,0.0804673846971554,0.19999999999999998,0.5
ice_mud_low__20dogs,cap-min,20,0.0,0.0,0.0,0.0
ice_mud_low__20dogs,cap-std,20,0.05842274115620863,0.011153723056310334,0.046278144589716075,0.09403545430669577
ice_mud_low__20dogs,dog-avg,20,0.4347822263947595,0.11667137051202128,0.23509257709017833,0.6196954033377807
ice_mud_low__20dogs,dog-max,20,0.7088688840662967,0.05092347157421593,0.5684806734514115,0.7898470653160748
ice_mud_low__20dogs,dog-min,20,0.3322196388079273,0.13400528775118406,0.12480624258964997,0.5468356367125858
ice_mud_low__20dogs,dog-std,20,0.061388466931447255,0.020065192482671,0.02993950590257071,0.09408346433055229
ice_mud_low__20dogs,fit-avg,20,0.06626666666666667,0.020981065538030023,0.045500000000000006,0.13906666666666667
ice_mud_low__20dogs,fit-max,20,0.19016666666666665,0.05632716928800877,0.13999999999999999,0.3499999999999999
ice_mud_low__20dogs,fit-min,20,0.0,0.0,0.0,0.0
ice_mud_low__20dogs,fit-std,20,0.04089591880934604,0.007807606139417235,0.03239470121280125,0.06582481801468704
ice_mud_low__20dogs,gen,20,100.0,0.0,100.0,100.0
ice_mud_low__20dogs,mrph-avg,20,0.5971933733796633,0.09455337996617896,0.3702835407534508,0.748739018587559
ice_mud_low__20dogs,mrph-max,20,0.8608331187523639,0.08217232196143517,0.636512895013598,0.9638888888888889
ice_mud_low__20dogs,mrph-min,20,0.25984360911712223,0.096745176352438,0.0861111111111111,0.4728606729609126
ice_mud_low__20dogs,mrph-std,20,0.12338717311467347,0.01737736087094405,0.10163928865034143,0.1604546773769653
ice_mud_low__20dogs,pen-avg,20,0.19730688253242354,0.07214107277036912,0.08207793877844786,0.3137598367446935
ice_mud_low__20dogs,pen-max,20,0.5024103114328579,0.04717034016277083,0.36347548635571064,0.5824751686605456
ice_mud_low__20dogs,pen-min,20,0.12460089865412721,0.06492423660815069,0.034268740686156644,0.2394629892503668
ice_mud_low__20dogs,pen-std,20,0.05686145256294254,0.018246764274141562,0.033590447793386276,0.10658591299626549
ice_mud_low__20dogs,shp-avg,20,0.4067640201063017,0.022433929676166867,0.35814746967051697,0.4422744364008679
ice_mud_low__20dogs,shp-max,20,0.47760222220412935,0.019497702032248113,0.4268677399917387,0.5146429720120294
