group,metric,count,mean,std,min,max
field__20dogs,mrph-min,10,0.2535994423967767,0.10494783354742167,0.03333333333333333,0.37881527474532833
field__20dogs,mrph-std,10,0.10769214119317547,0.019398995734323733,0.07701371024941425,0.14758681466772106
field__20dogs,pen-avg,20,0.3072162252423365,0.11043653481445827,0.09365280955220578,0.5002836847027299
field__20dogs,pen-max,20,0.605665029133025,0.11558331633652831,0.39078370675065416,0.853312464703829
field__20dogs,pen-min,20,0.15296564974983423,0.0794367736512077,0.04334440433804917,0.29352305847434207
field__20dogs,pen-std,20,0.06611236681754883,0.01841556668025088,0.023300894840074443,0.09859901723933119
field__20dogs,shp-avg,20,0.3610826345557679,0.028464452029556844,0.31279939954911307,0.42932761311340456
field__20dogs,shp-max,20,0.4468800271086267,0.035521381671585174,0.39172603881922763,0.5393671315606318
field__20dogs,shp-min,20,0.2830918457093677,0.024166043959628573,0.2271491623859561,0.3205556828117364
field__20dogs,shp-std,20,0.031735149306330104,0.008787105203785056,0.021777974201837896,0.05236996960870081
ice__15dogs,dog-avg,20,0.6676811220829421,0.06647746625062512,0.47175088002871024,0.7698391473163685
ice__15dogs,dog-max,20,0.7923451775978785,0.03953667798721626,0.669561084627173,0.859442681926291
ice__15dogs,dog-min,20,0.408967464815838,0.11336610507556183,0.25206495061032325,0.6450148926690403
ice__15dogs,dog-std,20,0.056045107076904854,0.017761847772624108,0.03486274962014183,0.11036158038130564
ice__15dogs,fit-avg,20,0.4514444444444444,0.13395769555173329,0.13244444444444445,0.5906666666666667
ice__15dogs,fit-max,20,0.7166666666666667,0.17197114314347647,0.3111111111111111,0.9333333333333332
ice__15dogs,fit-min,20,0.0033333333333333335,0.007934920476158722,0.0,0.022222222222222223
ice__15dogs,fit-std,20,0.14622702555280334,0.03946297167956651,0.05794164795638138,0.19802419106491403
ice__15dogs,gen,20,100.0,0.0,100.0,100.0
ice__15dogs,pen-avg,20,0.37679140521322163,0.11819298432133205,0.1760707547324739,0.6163762216588973
ice__15dogs,pen-max,20,0.7184355180114682,0.08930996394934329,0.4074593262353452,0.8693417480234588
ice__15dogs,pen-min,20,0.14359133743568983,0.10366600010797401,0.04052820202858635,0.3394976990953102
ice__15dogs,pen-std,20,0.07468019695485364,0.015802955046061655,0.054267905634100055,0.11338763718839516
ice__15dogs,shp-avg,20,0.27938033302428444,0.023324132406321738,0.24700999164944357,0.35206414953930865
ice__15dogs,shp-max,20,0.3898129371201709,0.03358841467589706,0.3357287851105523,0.4488949207546264
ice__15dogs,shp-min,20,0.21212084535865863,0.020234800674851106,0.17129406830133065,0.24713297166007084
ice__15dogs,shp-std,20,0.032530105263791825,0.005455151992065887,0.023696730254710374,0.0444461070622517
ice__20dogs,dog-avg,20,0.6243248394234522,0.052708901720347284,0.44045931954233686,0.6930548064272337
ice__20dogs,dog-max,20,0.7281467053248168,0.027153064650583272,0.6777835877472461,0.7758661510823797
ice__20dogs,dog-min,20,0.3697778901702626,0.10166519768795988,0.17975885211159096,0.5605569670720154
ice__20dogs,dog-std,20,0.05426859308039119,0.017025696271655327,0.038588114754494744,0.11579885950044229
ice__20dogs,fit-avg,20,0.5805666666666667,0.15376331378669836,0.171,0.7676666666666666
ice__20dogs,fit-max,20,0.8683333333333333,0.1536500352532772,0.3666666666666667,1.0
ice__20dogs,fit-min,20,0.011666666666666665,0.03693086634360056,0.0,0.16666666666666666
ice__20dogs,fit-std,20,0.1839988688206644,0.03886221594648834,0.08644780056324293,0.2328327964680043
ice__20dogs,gen,20,100.0,0.0,100.0,100.0
