mode,environment,dogs,gen,cap-avg,cap-max,cap-min,cap-std,dog-avg,dog-max,dog-min,dog-std,fit-avg,fit-max,fit-min,fit-std,mrph-avg,mrph-max,mrph-min,mrph-std,pen-avg,pen-max,pen-min,pen-std,shp-avg,shp-max,shp-min,shp-std
evolving,field,15dogs,31,0.1096666666666666,0.29166666666666663,0.0,0.0640289178078813,0.4773109544402538,0.6929089032917812,0.3822404484413773,0.056317362569310137,0.07676666666666662,0.2041666666666666,0.0,0.04482024246551687,0.5814151903479787,0.8281040490388503,0.26534037398520516,0.11725089175281736,0.24329649507038922,0.4687775918155048,0.1755815083632557,0.047228566432728845,0.3945602217304896,0.465296270601362,0.32667808863585085,0.02568498391067537
evolving,field,15dogs,32,0.11366666666666662,0.31499999999999995,0.0033333333333333296,0.06508646227221306,0.4774991635058868,0.6831463305645992,0.3806280414921735,0.05600049700962517,0.07956666666666662,0.22049999999999992,0.00233333333333333,0.0455605235905491,0.5844157028913151,0.8229462631054302,0.2661798014291575,0.11225403651611669,0.2430537389796931,0.4642345148374529,0.17385127031542105,0.04857263648795537,0.39548105592482796,0.47489125344253624,0.3302390363481397,0.02604290747517395
evolving,field,15dogs,33,0.11319999999999994,0.32166666666666666,0.0,0.06617763882437841,0.47860866137980346,0.6892136310629915,0.3813983980629908,0.05619766511544046,0.07923999999999995,0.2251666666666666,0.0,0.04632434717706487,0.588515053555933,0.8412978707002935,0.2811999908291948,0.11348210734342681,0.2440794002398981,0.4787040421119014,0.17815417705460757,0.049639957564168204,0.39460643785183247,0.4663163285958264,0.3234184974438097,0.0265020170352445
evolving,field,15dogs,34,0.11188333333333329,0.2983333333333333,0.0016666666666666648,0.06461771955585115,0.4760824303205785,0.7015607241675499,0.3784680145809266,0.05318065225513069,0.0783183333333333,0.2088333333333333,0.001166666666666665,0.045232403689095785,0.5872814043497583,0.8295197231086064,0.2866461317132471,0.11133598348917464,0.24261846517502278,0.4700870713864444,0.17794412629837836,0.04603160855794939,0.3941119106142013,0.46789919527988505,0.3287751884434941,0.0254008500683147
evolving,field,15dogs,35,0.10988333333333329,0.31333333333333335,0.0016666666666666648,0.06354267522793017,0.4771380610656279,0.7128114494063492,0.3832466352710506,0.05365181743657778,0.07691833333333328,0.2193333333333333,0.001166666666666665,0.0444798726595511,0.5890872854217987,0.832354531584266,0.29327441808995125,0.11046478827813973,0.24224643509705293,0.48448493130773207,0.17409341162265016,0.04691287110158802,0.39490730236292426,0.4749576702121918,0.33086587743369245,0.026178604648024063
evolving,field,15dogs,36,0.1128666666666666,0.30166666666666664,0.004999999999999995,0.0635608895117851,0.47678811848843716,0.7194564292037496,0.3766625083580811,0.05644749292890874,0.07900666666666663,0.21116666666666659,0.003499999999999995,0.044492622658249555,0.5870577500438444,0.8334915112803873,0.2977848703326937,0.10986867744571065,0.24427756381616295,0.5122932774510301,0.1727998450845468,0.052394788601602314,0.3941826133723737,0.4682948032759139,0.32445443170945387,0.026035438616604345
evolving,field,15dogs,37,0.11109999999999995,0.30166666666666664,0.0033333333333333296,0.06315942791320893,0.4757973003952328,0.6986140661231331,0.38403279678747987,0.053398190173447616,0.07776999999999995,0.21116666666666664,0.00233333333333333,0.04421159953924624,0.5848986068578844,0.8324537777911777,0.28344637236918013,0.11146360223222854,0.2433713633398244,0.4894468248256193,0.17253241080839735,0.0488009431251853,0.3950808671704308,0.4679630147011672,0.32336534242467474,0.02629654878042765
evolving,field,15dogs,38,0.11226666666666663,0.2983333333333333,0.0,0.06478975498008469,0.47587459739435867,0.7013715092556027,0.38097932363471954,0.05410782206801713,0.07858666666666661,0.2088333333333333,0.0,0.04535282848605926,0.587456815978016,0.837045581559001,0.2673509715671048,0.10943304182544107,0.24376169747359794,0.5033848521651496,0.17357151709866797,0.051196760883623314,0.39470683183184396,0.46543345415733073,0.32673261432538897,0.02589082523046423
evolving,field,15dogs,39,0.11353333333333329,0.3,0.0016666666666666648,0.06456871210223371,0.4736488748750487,0.6924223022890994,0.38624219961121853,0.05061921351173264,0.07947333333333328,0.20999999999999996,0.001166666666666665,0.04519809847156357,0.5882609226622495,0.8332242188288899,0.26185905042655067,0.10988607307803155,0.24116277020088212,0.4756568634406323,0.1747200925922006,0.04599278056215743,0.39505095770674137,0.4652361309070307,0.32999461509163364,0.026164193772901245
evolving,field,15dogs,40,0.1102166666666666,0.3,0.0016666666666666648,0.06274970454933403,0.47600587239245506,0.6963888533066621,0.38033015766884426,0.05195629514289772,0.07715166666666662,0.20999999999999996,0.001166666666666665,0.04392479318453381,0.5876302352108281,0.8358008625465739,0.30746274823872544,0.10815294793907462,0.24288060309985396,0.49254119025191656,0.17418896094037198,0.047201283374514895,0.39471893089746807,0.46451453887587546,0.32708256937329305,0.02497672360060377
